Gene,Log2FC,MeanExpr,t_stat,p_value,adj_pval,B_stat
DLAT,-0.016499123098900722,7.469090681986395,-0.5586377101880652,0.5772502289650283,0.839022297512769,-6.087532389022755
DLC1,-0.006632790282280777,5.092879309387755,-0.39891293401531897,0.6905302994982061,0.8917446144249281,-6.161520910545859
DLD,0.027907590469780412,8.638600398326531,0.9715256641712993,0.3328660726976308,0.6778500469541768,-5.782732966614296
DLEC1,0.015340761187271065,5.342015009895691,1.4205637468318957,0.15753948933178893,0.5022252114801089,-5.267579888285874
DLEU1,0.0763901555130498,7.044877253826531,1.9234198708210093,0.056340395236717446,0.32419515084329725,-4.46873028965387
DLEU2,-0.022703906171016634,6.334886047343537,-0.9522140900228261,0.3425354336697791,0.6854004922896381,-5.800618839196458
DLEU2L,-0.09227872678708778,5.803479684911564,-2.6351871687474944,0.009301267961996323,0.13304168165136296,-2.9528624985870464
DLEU7,-0.03967438874381923,6.101189758387755,-1.262223731677453,0.2088466488692931,0.5637153188212228,-5.4708514496920815
DLG1,-0.06189374661813185,6.544239914700681,-1.6921791049506851,0.09270863123043122,0.40420980475644525,-4.8647721503209675
DLG2,4.221976119510357e-4,5.11954366814966,0.029897455160014984,0.9761889712731576,0.9937711244324667,-6.23815317501669
DLG3,0.02283990032967031,5.287853235632653,1.710670841157924,0.08922969714253184,0.39693464120075533,-4.834886320490611
DLG4,-0.012140039972527683,5.7199997195170065,-0.281719385693554,0.7785508215137922,0.9305418977253427,-6.2001397376932905
DLG5,0.06352673135027448,5.405329847163265,2.520008347047226,0.01279231671822707,0.15752989219211475,-3.2277927852833317
DLGAP1,0.01237016594848891,5.121644380625851,0.912108771769591,0.36318952253350534,0.7004851560509471,-5.836630072335427
DLGAP2,0.018003527737636693,5.2381623434625855,0.9255859108333968,0.35616266107113936,0.6951020648193141,-5.824699497305198
DLGAP3,-0.014590088201922844,5.246126355904762,-0.8574679761206225,0.39256778099974,0.7224663320272797,-5.883227289220872
DLGAP4,0.004662170241758594,5.660172961435374,0.3050534754152065,0.7607524848880434,0.9220335373555344,-6.193509275185854
DLGAP5,-0.07106010780013773,6.450579343465987,-0.8434365857094465,0.40034061245948993,0.7281973292002912,-5.894733601338166
DLK1,0.004478488815933575,5.128916807445578,0.22355640238481397,0.8234096798297433,0.9464105824256075,-6.214373621278512
DLK2,-0.01939899192238965,5.325082176693877,-2.069900280918681,0.040193611097494586,0.27555070295590417,-4.192987549126498
DLL1,-0.0593413080645606,6.233279898870748,-1.301315858808424,0.19516533327833926,0.5499657421743477,-5.422843237821072
DLL3,0.03681924915521968,5.209798311935375,2.345282698975177,0.020335565407962396,0.19725408807018216,-3.623318620207014
DLL4,0.006841575483516597,5.1745695491564625,0.3496267568278005,0.7271140652405139,0.9073171677843224,-6.179379937794189
DLST,0.07015045750000017,6.3114932213333335,1.4858930844437284,0.1394269226161882,0.4788143886063086,-5.17691251168193
DLX1,0.007114419925824191,5.486097524251701,0.430693825213404,0.667315366018468,0.8823985315650601,-6.148760626485249
DLX2,0.05479586227197828,5.383018994108843,2.635456701587334,0.009294220665000614,0.13303587458615598,-2.952206028312621
DLX3,0.045338154574175636,5.354535457034014,2.165961470417362,0.03190973295116729,0.24634554741211603,-4.001819240068772
DLX4,-0.006322384852564257,5.364447702746031,-0.5170000800583906,0.6059251204424386,0.8533866891661485,-6.109190400067336
DLX5,-0.03206786010576946,5.109999440285715,-1.802877782629821,0.07343473067381698,0.3642297736987646,-4.681219897153513
DLX6,-0.016714688311812845,5.011969400979591,-0.925241118790734,0.3563413465076407,0.6951020648193141,-5.825006878278432
DLX6AS,-0.009391342184066228,5.329291634231293,-0.5251446780255743,0.6002656469082135,0.8508312072389723,-6.105085343320977
DMAP1,0.00755719006593367,7.97279225037415,0.239361301406337,0.8111554221878486,0.9425539026687125,-6.2108297558372785
DMBT1,-0.022765548302197996,5.223014044384354,-1.6608370558022783,0.0988557165193535,0.416383828888514,-4.914713245037655
DMBX1,-0.0088273449739012,5.236172918557823,-0.43007137817699664,0.6677670595609485,0.882547896868104,-6.14901990705047
DMC1,-0.04713785567307705,9.216775236928571,-1.9243304384901905,0.05622523532844636,0.32383645315835885,-4.4670753989934555
DMD,0.00832702600206045,5.183188385700681,0.9905326932093286,0.3235247507913983,0.671006389807978,-5.764783147331754
DMGDH,9.676517197800396e-4,5.1524011838503405,0.07916767185308649,0.9370058202034458,0.9834200318067262,-6.23554939738725
DMKN,0.01940262170100733,5.25202055986848,1.7439446637838683,0.08323765578061623,0.3846803780237714,-4.7803252921122965
