Gene,Log2FC,MeanExpr,t_stat,p_value,adj_pval,B_stat
IL7R,0.24990599489079812,10.868350171935374,3.4074380899181915,8.440237751202496e-4,0.03636672297501928,-0.8294457874289893
IRS2,0.23304799289972603,8.16883688907483,3.40754766064622,8.437097543186945e-4,0.03636672297501928,-0.829111170321676
LOC100128460,-0.27186157271016625,7.247795616721088,-3.404079388389689,8.537028285367553e-4,0.03665090859234436,-0.8396984638746448
VWF,0.20609615653846222,6.037925675,3.4020235254792635,8.596785790056915e-4,0.036857106444519595,-0.8459698947327734
MPL,0.2773580685480774,7.544569643904762,3.391010188950921,8.923636073031361e-4,0.037845369396907365,-0.8795113546330686
TRA1P2,-0.2220174575425836,8.621441024360545,-3.388967056066156,8.985536745035659e-4,0.038037831997956836,-0.8857236093975045
LOC100132199,-0.23338608766758373,9.636040089360543,-3.348661210680643,0.0010291967825968914,0.04126145361807235,-1.0076233079974806
CXorf21,-0.2019202290405226,7.741433789965987,-3.337972715213416,0.0010667079996107525,0.041850643690096764,-1.0397404158068557
MS4A2,0.21677451286675828,6.29971061114966,3.3256484108456563,0.0011115445494487349,0.0428133829085449,-1.0766638659966725
PARP9,-0.314149150350276,9.269017463646259,-3.3077367199837986,0.0011798545787612455,0.04414095594937506,-1.130118547977104
TYMP,-0.2722321915357153,8.119831989180271,-3.3067563981344072,0.0011837040663970632,0.04414095594937506,-1.1330370271494532
IFI16,-0.20500757556318722,10.712955105068028,-3.3022747940101316,0.0012014519900600854,0.04437617128009324,-1.1463695941112757
LOC391769,-0.2249305525384629,7.033534019428571,-3.300001320294303,0.0012105499762134922,0.04454653811766418,-1.1531271448551683
TTRAP,-0.20279576004258326,9.346079460646258,-3.2857219445164905,0.0012691790312900336,0.04584508073255241,-1.1954790457927453
LOC647074,-0.21059070348214387,8.097174621755101,-3.2778310219936104,0.001302703418260872,0.04637753817897895,-1.2188154352845446
DDX3Y,-0.2308200535302206,8.417318533755102,-3.243951726481317,0.0014562357024647385,0.0495814335705925,-1.3184601970757504
LOC387934,-0.20788041161675944,7.731692612802721,-3.2417284135549487,0.0014668783035063685,0.049781984412517424,-1.3249681423188244
SIDT2,-0.2180821214793966,9.759041509959184,-3.2159184318207723,0.0015958397349463312,0.052214816118795505,-1.4002355550520553
TARP,0.26950695728571467,8.172873086795919,3.20158582146218,0.001671930453991135,0.05373692979710492,-1.4418078514126629
JAM3,0.2116480575618137,7.396476716020408,3.200339839469907,0.0016787021288919785,0.05388650980853863,-1.445414277747342
LOC728744,-0.23953624779395666,5.859936097877551,-3.198949527949504,0.0016862882876471248,0.053964659600405855,-1.4494370230919253
C14orf82,-0.21052097060576921,7.145459020619048,-3.1880520491935123,0.0017468624249674897,0.05527169231730503,-1.4809154766396553
MIR1974,-0.48281183888736473,9.650509728938776,-3.174731424764178,0.0018236496909121566,0.056686464081706654,-1.5192669188826349
FCGR2C,-0.25628125117994605,6.745914430918368,-3.1708784562475527,0.0018464376170592137,0.05700014592701655,-1.5303340292651777
MIR574,-0.2103013831524733,7.2158352839591835,-3.1670014800884663,0.0018696340405494466,0.057490332053137874,-1.5414583204204213
C11orf75,-0.21270762476373667,8.592373478122449,-3.159461382851991,0.001915523560512373,0.05838936832681392,-1.5630594291880602
TNFAIP6,-0.3025997779876394,7.595788683965987,-3.152681007327628,0.001957679353764361,0.059155799395575775,-1.5824458474744816
TMEM51,-0.22135370361675924,6.466585511897959,-3.123134748770108,0.002151613369827862,0.06186331359580091,-1.6665011310838365
CRIP2,0.21516745752472538,6.435751971027211,3.090271620418904,0.0023881300321402853,0.06589504081092258,-1.7591812923880914
LOC643882,-0.20213887073076955,7.589301183571428,-3.083208720221347,0.00244200413514646,0.06638617815840195,-1.7789881239043446
PSG9,-0.27691849830494575,7.00013425677551,-3.048899824718483,0.0027200493763650936,0.0701808470456892,-1.8746373439696216
C19orf59,-0.3504767910054952,8.581314724210884,-3.033427799308751,0.0028547577589533176,0.07211705573381588,-1.9174643045964022
LOC643779,-0.22833153546016588,8.821330906102041,-3.0200924376964684,0.0029757716535052407,0.07346158678951743,-1.95422327032683
LOC652113,-0.319010490519232,6.839761620428572,-3.015403372414386,0.003019434749174407,0.0741778870217682,-1.9671148404804288
GSTM2,0.2269415880199188,7.45284274457483,2.9962332121142,0.003204150710260029,0.07704180583062867,-2.019635560877031
LGALS3BP,-0.22434456230631916,6.4502299564829935,-2.9844960855702745,0.0033223217206790937,0.07915639302051646,-2.0516461658806495
SDPR,0.2254618640576932,10.167833540380952,2.9728411399315835,0.0034436208042440243,0.08103844940541348,-2.083322913599001
LOC642073,-0.2610388013942315,9.676416329,-2.9438843543627375,0.003762823037346516,0.08404727658494049,-2.1615496767595053
AIM2,-0.26384475845741845,7.303953371782313,-2.9317340238550122,0.003904677559195665,0.0852886840610255,-2.194171910552761
USP6,-0.20631904842307802,7.735479149809524,-2.92198980685462,0.004021967948546365,0.0868689792103217,-2.2202475933135686
LOC389386,-0.24083596177335295,7.03678892105102,-2.9058597593388322,0.004223244530664941,0.08877570743857956,-2.263242555232051
IRF5,-0.2077726098234892,6.417129292183674,-2.8970266290137676,0.004337338512343227,0.08955663606366508,-2.286697863145038
LOC648984,-0.2653130238296715,7.621664812510204,-2.8827542546321445,0.004527667186049514,0.09149378726915294,-2.324462248959382
NHLRC4,-0.2055793261799451,6.69525389329932,-2.862639232766965,0.004808899774349809,0.0941852310625663,-2.3774042256241157
PLSCR1,-0.3390294874780228,7.535356319489796,-2.8655165523874415,0.004767715900991151,0.0941852310625663,-2.3698514699283466
LOC643007,-0.21413017463736264,10.734445611510203,-2.860038208384976,0.004846408514403978,0.09442233972328544,-2.3842259060475115
SERPING1,-0.20171003512774816,5.985351859176871,-2.8582123024652843,0.004872898978979107,0.094615761071915,-2.3890113884908835
TMEM106A,-0.23814749876511085,9.510840639353741,-2.8442811307794678,0.0050794107463653215,0.09656718821250854,-2.425433580011634
NELL2,0.22010524902060552,9.20130285814966,2.8392722280487077,0.0051555933686935045,0.09690226441928083,-2.438490226760485
