ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0048002,antigen processing and presentation of peptide antigen,67,-0.45634846211626373,-1.9977939153258681,4.614930292664561e-5,0.005735699078025954,0.005259335167043071,4301,"tags=52%, list=26%, signal=39%",1509/30835/3119/6556/3551/2207/3109/563/3134/79465/3108/3112/2923/3113/7189/972/51128/6891/3118/3126/10437/3117/81622/3125/154064/55080/29108/3135/353091/2213/50856/3136/6890/567/2209
GO:0002237,response to molecule of bacterial origin,338,-0.2707871969676772,-1.5265147871828388,4.730311908493574e-5,0.005761519904545173,0.005283011510433349,4152,"tags=36%, list=25%, signal=27%",1604/79577/4843/3164/4790/1524/6556/4791/3656/1269/5731/7133/11009/22843/840/9646/824/10333/836/10288/9076/6648/5106/445/3055/7538/6833/3620/842/80149/2693/4615/3606/26228/1432/7054/7189/929/1670/4793/3146/64332/26273/3764/5122/4846/196/5179/10935/5777/9971/841/5336/5027/6891/27063/7099/2255/4283/153090/2048/948/5142/7096/3552/148022/3148/23643/1437/8564/64127/80380/11213/717/3553/1268/117854/3586/6279/133/3627/2643/7128/10859/29108/3717/958/5737/9373/2056/2634/129607/84868/6347/85363/4792/115362/1439/2213/2204/695/3965/90070/51510/117285/4435/54658/331/3593/7474/81793/3929/3663/567/834/6868/7100/29126/2635/114769
GO:0050691,regulation of defense response to virus by host,37,-0.5487414055367087,-2.087973373910189,4.9218568125243405e-5,0.005877020578670285,0.0053889195695870475,2335,"tags=57%, list=14%, signal=49%",22978/6895/54765/3553/117854/440275/3600/7128/10859/6772/10084/29108/10346/246778/5371/60489/200316/3593/9447/83666/151636
GO:0032635,interleukin-6 production,141,-0.35707098937191695,-1.7848556268344733,5.1146484510595254e-5,0.005877020578670285,0.0053889195695870475,4284,"tags=46%, list=26%, signal=35%",55024/10865/6774/2150/3329/4843/5452/90865/51284/56848/961/824/10333/3570/10288/3670/80149/2693/51738/4615/6504/351/11006/23208/7189/27342/972/3146/51311/5004/5777/64581/9971/5336/5027/353514/7099/81622/948/64135/7096/3552/148022/64127/11213/5603/3553/3586/7040/114900/10392/177/7128/29108/84868/85480/3071/409/695/3965/3952/199/7474/3929/113277
GO:0032675,regulation of interleukin-6 production,141,-0.35707098937191695,-1.7848556268344733,5.1146484510595254e-5,0.005877020578670285,0.0053889195695870475,4284,"tags=46%, list=26%, signal=35%",55024/10865/6774/2150/3329/4843/5452/90865/51284/56848/961/824/10333/3570/10288/3670/80149/2693/51738/4615/6504/351/11006/23208/7189/27342/972/3146/51311/5004/5777/64581/9971/5336/5027/353514/7099/81622/948/64135/7096/3552/148022/64127/11213/5603/3553/3586/7040/114900/10392/177/7128/29108/84868/85480/3071/409/695/3965/3952/199/7474/3929/113277
GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,192,-0.31861172286403255,-1.6785378666444464,7.018822060347803e-5,0.00791567154583669,0.007258255561431793,4155,"tags=42%, list=25%, signal=32%",911/1604/3329/6556/6830/10039/9390/90865/7133/604/3263/5321/54795/729230/4436/383/80149/563/3134/79465/6504/3606/11006/3554/430/1380/7189/3146/64332/7037/196/5777/55061/64581/5027/6891/84695/3718/8809/3125/3456/2048/3726/93978/154064/64127/3553/3586/7040/6363/7158/1378/177/10538/11035/7128/10859/81545/91543/3717/958/6398/84868/22890/3071/3135/51010/353091/2213/10673/695/8741/634/246778/3136/259307/3593/567/29126/8417/2209
GO:0050830,defense response to Gram-positive bacterium,114,-0.3729038552405536,-1.815910741940077,7.407559254551584e-5,0.008202188338221663,0.007520976429740891,3295,"tags=33%, list=20%, signal=27%",503841/1672/353144/4615/3606/351/245932/122651/796/1670/163351/5027/353142/948/1755/245909/3148/2220/64127/3553/133/10392/79792/414325/115361/29108/2634/84868/130120/353143/4852/114770/117285/3929/837/567/6868/1113
GO:0050829,defense response to Gram-negative bacterium,99,-0.40063380744776256,-1.8747899435862858,7.619308213717574e-5,0.008285997682417862,0.007597825201836793,4533,"tags=45%, list=27%, signal=33%",358/219972/3906/2150/4843/7432/6556/57817/5544/3570/54210/503841/1672/353144/351/245932/796/1670/64332/5587/7099/353142/1755/245909/3148/2220/85569/1610/133/10392/79792/414325/29108/85480/58985/353143/4852/613209/117285/3593/3929/567/55876/1113/245936
GO:0006413,translational initiation,116,0.41619699076493666,1.797203079700359,7.906808443165138e-5,0.008447800599802753,0.007746189989102688,3008,"tags=31%, list=18%, signal=26%",54915/22927/127933/27335/1968/10657/51386/8666/10209/8664/1975/6188/8667/3315/6193/23367/5436/8665/1979/7812/1965/253314/8894/23521/1974/56339/1653/27102/1967/51441/219402/28969/51247/3646/6218/8661
GO:0002449,lymphocyte mediated immunity,290,-0.28021355080753046,-1.5493758049836706,8.252155545855577e-5,0.008664763323148356,0.007945133424821024,3377,"tags=32%, list=20%, signal=26%",2215/729230/4436/387836/383/3799/100507436/563/3134/79465/4615/57823/6504/8302/3606/11006/5580/3554/1380/7189/735/972/3146/64332/51311/11151/7409/7037/196/5777/55061/5130/5027/6891/11118/8809/81622/3125/3456/10384/326/154064/714/64127/717/3553/3586/7040/7158/1378/177/10538/11035/4683/10859/81545/91543/958/2214/6398/84868/1075/22890/8807/712/1235/3071/3135/1439/51010/409/353091/2213/695/8741/634/3965/164/3665/3136/3952/259307/713/3593/710/567/9103/3981/29126/8417/2209/387837
GO:0071346,cellular response to type II interferon,95,-0.40584669592136885,-1.8900060239652614,8.796707576188631e-5,0.009079991379489621,0.008325875770148206,3468,"tags=40%, list=21%, signal=32%",9076/445/3055/383/3659/3799/6348/10435/6810/361/10096/3113/163351/133060/7099/5771/6672/1612/815/2633/6772/115361/3717/2634/6347/115362/2204/54625/3965/199/55647/3593/7474/83666/5468/834/84166/2635
GO:0090150,establishment of protein localization to membrane,225,0.3482042125501439,1.6540394054369016,9.5293782920865e-5,0.009672318966467797,0.008869009094652438,3135,"tags=29%, list=19%, signal=24%",25782/93380/54543/55204/65125/26003/582/9804/5962/64112/6745/2664/90196/3309/1121/7095/481/5621/4666/23787/5584/282679/130617/29928/23463/23163/6731/6728/79844/4118/22930/128866/6844/8766/7879/5824/11231/56993/1201/8266/55625/51114/583/55146/57554/51125/79720/6449/55670/9344/8851/100188893/3684/1445/26520/5830/22883/11031/23180/9581/9727/23062/617/155382/55737
GO:0050777,negative regulation of immune response,196,-0.31204378436489455,-1.6441654522230935,1.1853480907489131e-4,0.011643177213969161,0.010676182718884524,3397,"tags=35%, list=20%, signal=28%",3055/11314/729230/383/100507436/80149/3134/7301/6773/6504/2778/11006/1432/430/1380/103/84640/5648/3630/196/5777/55061/133060/84695/10906/3718/1813/2896/79132/3456/5771/64127/11213/3586/7040/2810/1378/7128/10859/4889/25939/84868/4940/3071/3135/409/2213/634/54625/3965/11274/259307/114770/9636/3958/4938/3593/9111/710/3428/5468/79651/160364/56833/29126/84166/64092/387837
GO:0045089,positive regulation of innate immune response,353,-0.2665179650967191,-1.4979122811246546,1.1782552931218157e-4,0.011643177213969161,0.010676182718884524,2901,"tags=28%, list=17%, signal=23%",4615/2358/8302/79184/57590/351/6421/7189/81035/100132285/929/10524/78989/3146/64332/3764/51311/5610/7409/64581/9971/8473/5336/5027/64922/6895/1452/9865/5587/7099/55269/79132/81622/3456/153090/948/64135/7096/4210/93978/148022/3148/23643/58484/2220/64127/11213/330/3430/81030/117854/6279/10392/84885/4671/7128/22861/80216/10084/29108/91543/2634/84868/8638/4940/55601/8807/85363/130120/4792/3135/115362/409/353091/81790/695/164/3665/6565/5063/4938/331/3593/9111/7474/81793/2867/3929/5359/9447/92610/3428/83666/834/7100/29126/84166/118788
GO:0016072,rRNA metabolic process,222,0.35183326640045315,1.6643781085167986,1.2103658485017488e-4,0.011700203202183573,0.010728472558566043,3690,"tags=34%, list=22%, signal=27%",6208/10927/51082/153443/2976/5036/55661/55646/2074/64425/29063/23404/6125/2971/27043/5434/11224/28987/6202/23076/6165/29777/54853/83732/10436/9191/84128/50628/1662/6194/92345/134430/6155/113000/55003/10799/65095/6839/79707/51154/8886/9724/27079/84135/6130/2091/84881/81887/23212/80135/57602/51367/54913/2972/51441/6209/55272/1736/115752/25983/6218/27340/117246/6135/6217/57647/120379/51018/6129/79039/6234/51729/6598/8568/23160/90121
